text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,,,,user.bio,,user.region,user.language,user.hasEmail,user.hasPhone
I like this !,0,0,2026-03-23T03:06:06.000Z,ugcinthe6ix,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,7495402569640985605,7620281954885993217,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5ee4383596b2626f57d324ded6cfde5e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2c89fd5f&x-expires=1775102400&x-signature=HMAlOrIs8CfMkxLqyBBdEDG7SJ8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
Drop that shopping bag to me asap!!!,1,1,2026-03-18T23:37:28.000Z,4kgtfo,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,7081664293934973957,7618743806398251797,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/42d1b21fd9f26e863d5664c1f4d199cf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9d38baa3&x-expires=1775102400&x-signature=MdNcMj%2FGV6XXXkpIBQYWCVQ1LJA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
"🏃🏽‍♀️I'm coming, open the door",1,,2026-03-19T00:28:35.000Z,samreenxms2,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,6796328840953611270,7618757014453469973,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5422701a010ef1d5efae2ff23d88f04a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=da7b94a1&x-expires=1775102400&x-signature=3o40S9TXbNYcTWThRpq2WonniBY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
Pretty 🩷,1,1,2026-03-18T23:18:45.000Z,sicilianashley1985,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,7001898395905737733,7618738984701657876,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5e82d2aed5e94742e9ef89158ef31d3b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=62d56669&x-expires=1775102400&x-signature=0qd6fsY%2FrGFQjIK9G4usmjyNcFE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
🥰🥰🥰,0,,2026-03-19T00:28:16.000Z,samreenxms2,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,6796328840953611270,7618756892668838677,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5422701a010ef1d5efae2ff23d88f04a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=da7b94a1&x-expires=1775102400&x-signature=3o40S9TXbNYcTWThRpq2WonniBY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
💕🥰glowing face ✨️MA SHA ALLAH ❤️🧿🧿🧿💕,1,0,2026-03-19T03:06:49.000Z,farzana.hameed,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,7122113589892350981,7618797807373517586,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5ddf0c91ad09c0555adfb59aeb79d826~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70fb1067&x-expires=1775102400&x-signature=rBoZIUPNwbnwMcSYBu8X2qydnms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
👍💯,0,0,2026-03-19T13:09:23.000Z,usmanrajpot9491,https://www.tiktok.com/@samreenxms2/video/7618719907215199508,7020846350192116741,7618953078503719698,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/eae1dfb291e692393e016ae7022572d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5da5ba51&x-expires=1775102400&x-signature=iHezZQBoByRA7URRtQtLksZDdBg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
"Amo eso parches de los labios , los deja súper hidratados",0,0,2026-03-17T14:59:50.000Z,laugja13,https://www.tiktok.com/@elizabethberiguet2/video/7616026642313415954,7209752119816127534,7618239177189049102,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7a51d7a50b1f5c4412f76105f27212f1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=27da1a4a&x-expires=1775102400&x-signature=dQCcUWb8znZsaII5PMtM4gAT7Uc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
Necesito probarla se ven el brillo y la hidratación,1,0,2026-03-12T14:57:35.000Z,nelly_ugc2,https://www.tiktok.com/@elizabethberiguet2/video/7616026642313415954,7201934292728824837,7616383396054385429,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/65f8b61827ebacf25c66ea3a58331759~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1dac93cd&x-expires=1775102400&x-signature=UqKjdCUvM5YOcR8LWNBlI9UP%2FbM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
Me encantó este dúo y te dejó la piel y los labios súper hidratados,1,0,2026-03-11T20:18:28.000Z,solennycarrasco08,https://www.tiktok.com/@elizabethberiguet2/video/7616026642313415954,7270377885382132741,7616094936249959189,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ec74e97588c956a17a2e950404784f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ff0f6da2&x-expires=1775102400&x-signature=jNnOsD0JoqtSGcyK5hip9CVbAvA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,,,,,,,,,
