text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail
[Sticker] ,1,0,2026-04-21T04:58:56.000Z,maddie._272,https://www.tiktok.com/@luv_nomi/video/7631060976460188959,7015744275612058630,7631072356228711199,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/108d34c381de9b75580c330818c6d593~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ce6a9c7a&x-expires=1778140800&x-signature=%2FkROlpS6tPQU%2BguIYbq1Efolbb4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Voooy corriendo 🏃‍♀️,0,0,2026-04-21T05:23:51.000Z,yovanicanole,https://www.tiktok.com/@isabella.bracamonte/video/7631077539837971725,79871571061788673,7631078827812340511,https://p19-common-sign.tiktokcdn.com/tos-maliva-avt-0068/b271b76e595209c4af9e15cd65134217~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4d4384aa&x-expires=1778140800&x-signature=LBv%2BvYfRUKxrsYVx6NFhEEje7DU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
Que buena mascarilla,0,0,2026-04-23T04:56:18.000Z,zairawdd,https://www.tiktok.com/@isabella.bracamonte/video/7631077539837971725,7273560369083761707,7631813804565840654,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/476581d90d7903b4bfeba75691de14d5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=90670ac4&x-expires=1778140800&x-signature=FAa%2BavmjlGp360jjMuMGt6IWRX4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
😍😍😍,0,0,2026-04-21T13:41:26.000Z,nare56085,https://www.tiktok.com/@isabella.bracamonte/video/7631077539837971725,7403843235630498862,7631207016375747341,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/ebe09e750d1f6bef7fc5673dc2f46df3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5b99d646&x-expires=1778140800&x-signature=E%2B72iCuaOmIS8yOVnN24oLdK1hc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
❤️❤️❤️Lovely,3,0,2026-04-18T01:53:39.000Z,beautyu,https://www.tiktok.com/@life_choic3s/video/7629462153296235790,7468537483698291754,7629911427558261518,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/791a4e61dc21c66665e9404c380ed452~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0466aa87&x-expires=1778140800&x-signature=hGBJeexZXAOfvUSZn7ugMTItjmM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
🥰🥰🥰,1,0,2026-04-20T20:43:53.000Z,elmiraminasyan1,https://www.tiktok.com/@life_choic3s/video/7629462153296235790,7172726848073008171,7630944908996002573,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/db009cf199007d1f18ead2a0f7b57e9d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=187dd2b0&x-expires=1778140800&x-signature=6ScW2HS24h1p67ex0JG35R1nzAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"Well, this looks nice. So awesome it doesn't slip.",0,0,2026-04-21T17:04:32.000Z,fluffybunnywarrior,https://www.tiktok.com/@m_monsam/video/7630678821301243143,7106972517898290222,7631259421779477261,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/042374e174e7810fee608b752500c894~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b2d581e2&x-expires=1778140800&x-signature=%2FNhxwLwutCeYGEY12l2vRp7Kw4A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Lol,3,1,2026-04-21T02:31:37.000Z,lychee9788,https://www.tiktok.com/@vivlybum/video/7631033660216511774,7541262770857198647,7631034470905135902,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/a1621bec8c3178822e74dbe07a32f0d1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=79f3c551&x-expires=1778140800&x-signature=9eR0m7bzYMWA7yDs%2FhlAz7jsw1I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
Omg the lip mask packaging is so cute 😍,2,1,2026-04-16T13:34:38.000Z,camachosamyy,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,135272647310921728,7629349843261621006,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/b1b09d91e9a3925eee1500e64b2c695a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=0c439cb7&x-expires=1778140800&x-signature=x3RSHpfrNRc%2FNW%2Fj9RiPciid3z0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
It just looks sooo good!!🥰🥰,0,0,2026-05-01T11:10:34.000Z,carefree_cass,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,7507685525077460014,7634879007502156575,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/17ffb3c34a352f680b15d18330a570c4~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=52e31fcc&x-expires=1778140800&x-signature=d7y0Q%2FlHXluUNDy6CUkwL0Ub5Go%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
